Date,Description,Debit,Credit,Sub-category,Category,Category Type,MonthName,Month Number,Week Day,Net Amount
44200,Data With Decision,,5000,Data with Decision,Salary,Income,Jan,1,Mon,5000
44200,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Mon,-5
44201,Estate Mangement,900,,Rent,Living Expenses,Expense,Jan,1,Tue,-900
44201,Financail upgrade,150,,Cash loan,Transport,Expense,Jan,1,Tue,-150
44201,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Tue,-5
44202,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Wed,-5
44203,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Thu,-5
44204,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Fri,-5
44204,Green's,155,,Groceries,Living Expenses,Expense,Jan,1,Fri,-155
44207,Power source,50,,Gas/Electrics,Living Expenses,Expense,Jan,1,Mon,-50
44207,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Mon,-5
44208,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Tue,-5
44209,Fuel,77,,Coffee,Dining Out,Expense,Jan,1,Wed,-77
44209,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Wed,-5
44210,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Thu,-5
44211,Green's,135,,Groceries,Living Expenses,Expense,Jan,1,Fri,-135
44211,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Fri,-5
44212,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Sat,-5
44212,Cinemas,40,,Entertainment,Discretionary,Expense,Jan,1,Sat,-40
44212,Fashionistas,98,,Clothes,Discretionary,Expense,Jan,1,Sat,-98
44212,Burger,52,,Restaurant,Dining Out,Expense,Jan,1,Sat,-52
44213,Uba,28,,Taxi,Transport,Expense,Jan,1,Sun,-28
44214,Onlne earning,,4500,YouTube,Passive,Income,Jan,1,Mon,4500
44214,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Mon,-5
44215,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Tue,-5
44215,Onlne earning,,4500,Teachable,Passive,Income,Jan,1,Tue,4500
44215,Phone,40,,Phone,Living Expenses,Expense,Jan,1,Tue,-40
44216,Sallah give away,45,,Gifts,Discretionary,Expense,Jan,1,Wed,-45
44216,Online streaming,32,,Entertainment,Discretionary,Expense,Jan,1,Wed,-32
44216,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Wed,-5
44217,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Thu,-5
44218,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Fri,-5
44218,Green's,170,,Groceries,Living Expenses,Expense,Jan,1,Fri,-170
44219,Suya,37,,Restaurant,Dining Out,Expense,Jan,1,Sat,-37
44220,Oha soup/White soup,12,,Restaurant,Dining Out,Expense,Jan,1,Sun,-12
